NodeID,PackageID,DeliverableID,DeliverableName,DeliverableType,ScopeItems,Objectives,ContextEnvelope,LifecycleState,ExecutionPath,ContextPath,DependenciesPath,HasFourDocumentKit,HasSemanticMatrix,HasSemanticLensing,HasReview,SourceRegister,Notes
DEL-00-01,PKG-00,DEL-00-01,Architecture decision record baseline,DOC_UPDATE,SOW-056,OBJ-013,M,SEMANTIC_READY,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-01_Architecture decision record baseline,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-01_Architecture decision record baseline/_CONTEXT.md,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-01_Architecture decision record baseline/_DEPENDENCIES.md,FALSE,FALSE,FALSE,FALSE,docs/_Registers/Deliverables.csv,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-00-02,PKG-00,DEL-00-02,Repository and module boundary architecture,API_CONTRACT,"SOW-057,SOW-062",OBJ-013,M,SEMANTIC_READY,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-02_Repository and module boundary architecture,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-02_Repository and module boundary architecture/_CONTEXT.md,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-02_Repository and module boundary architecture/_DEPENDENCIES.md,FALSE,FALSE,FALSE,FALSE,docs/_Registers/Deliverables.csv,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-00-03,PKG-00,DEL-00-03,Application service command-query-job model,API_CONTRACT,"SOW-058,SOW-062",OBJ-013,L,SEMANTIC_READY,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-03_Application service command-query-job model,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-03_Application service command-query-job model/_CONTEXT.md,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-03_Application service command-query-job model/_DEPENDENCIES.md,FALSE,FALSE,FALSE,FALSE,docs/_Registers/Deliverables.csv,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-00-04,PKG-00,DEL-00-04,Persistence and schema versioning architecture,DATA_MODEL_CHANGE,SOW-059,OBJ-013,L,SEMANTIC_READY,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-04_Persistence and schema versioning architecture,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-04_Persistence and schema versioning architecture/_CONTEXT.md,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-04_Persistence and schema versioning architecture/_DEPENDENCIES.md,FALSE,FALSE,FALSE,FALSE,docs/_Registers/Deliverables.csv,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-00-05,PKG-00,DEL-00-05,GUI state and interaction architecture,UX_UI_SLICE,SOW-060,OBJ-013,L,SEMANTIC_READY,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-05_GUI state and interaction architecture,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-05_GUI state and interaction architecture/_CONTEXT.md,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-05_GUI state and interaction architecture/_DEPENDENCIES.md,FALSE,FALSE,FALSE,FALSE,docs/_Registers/Deliverables.csv,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-00-06,PKG-00,DEL-00-06,"Diagnostics, warning, and result-envelope contract",DATA_MODEL_CHANGE,SOW-061,OBJ-013,M,SEMANTIC_READY,"execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-06_Diagnostics, warning, and result-envelope contract","execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-06_Diagnostics, warning, and result-envelope contract/_CONTEXT.md","execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-06_Diagnostics, warning, and result-envelope contract/_DEPENDENCIES.md",FALSE,FALSE,FALSE,FALSE,docs/_Registers/Deliverables.csv,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-00-07,PKG-00,DEL-00-07,API boundary and adapter contract map,API_CONTRACT,SOW-062,OBJ-013,M,SEMANTIC_READY,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-07_API boundary and adapter contract map,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-07_API boundary and adapter contract map/_CONTEXT.md,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-07_API boundary and adapter contract map/_DEPENDENCIES.md,FALSE,FALSE,FALSE,FALSE,docs/_Registers/Deliverables.csv,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-00-08,PKG-00,DEL-00-08,Layered software test and acceptance strategy,TEST_SUITE,SOW-063,OBJ-013,M,SEMANTIC_READY,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-08_Layered software test and acceptance strategy,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-08_Layered software test and acceptance strategy/_CONTEXT.md,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-08_Layered software test and acceptance strategy/_DEPENDENCIES.md,FALSE,FALSE,FALSE,FALSE,docs/_Registers/Deliverables.csv,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-01-01,PKG-01,DEL-01-01,Project governance baseline,DOC_UPDATE,"SOW-001,SOW-048","OBJ-001,OBJ-002",M,CHECKING,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-01_Project governance baseline","execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-01_Project governance baseline/_CONTEXT.md","execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-01_Project governance baseline/_DEPENDENCIES.md",FALSE,FALSE,FALSE,FALSE,docs/_Registers/Deliverables.csv,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-01-02,PKG-01,DEL-01-02,Copyright and protected-data boundary policy,DOC_UPDATE,"SOW-003,SOW-028",OBJ-002,M,CHECKING,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-02_Copyright and protected-data boundary policy","execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-02_Copyright and protected-data boundary policy/_CONTEXT.md","execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-02_Copyright and protected-data boundary policy/_DEPENDENCIES.md",TRUE,FALSE,FALSE,FALSE,docs/_Registers/Deliverables.csv,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
