DeliverableID,PackageID,ContextEnvelope,Risk,RecommendedAction,Notes
DEL-01-01,PKG-01,M,OK,Proceed with bounded Type 2 brief,Single governance surface; policy language only.
DEL-01-02,PKG-01,M,OK,Proceed with bounded Type 2 brief,Requires careful wording and legal-review flags.
DEL-01-03,PKG-01,S,OK,Proceed with bounded Type 2 brief,Bounded policy artifact.
DEL-01-04,PKG-01,S,OK,Proceed with bounded Type 2 brief,Policy wording; no code.
DEL-02-01,PKG-02,M,OK,Proceed with bounded Type 2 brief,Core schema touches many entity definitions but one domain.
DEL-02-02,PKG-02,M,OK,Proceed with bounded Type 2 brief,Foundation for solver and rule engine.
DEL-02-03,PKG-02,S,OK,Proceed with bounded Type 2 brief,Important semantic boundary; limited implementation surface.
DEL-02-04,PKG-02,M,OK,Proceed with bounded Type 2 brief,Cross-cutting but kept to domain/API definitions.
DEL-02-05,PKG-02,M,OK,Proceed with bounded Type 2 brief,Single data persistence surface; file/storage format TBD.
DEL-03-01,PKG-03,M,OK,Proceed with bounded Type 2 brief,Schema plus tests; no proprietary data.
DEL-03-02,PKG-03,M,OK,Proceed with bounded Type 2 brief,Library schema only; no protected tables.
DEL-03-03,PKG-03,S,OK,Proceed with bounded Type 2 brief,Single component family.
DEL-03-04,PKG-03,M,OK,Proceed with bounded Type 2 brief,Component model has more local fields but remains bounded.
DEL-03-05,PKG-03,M,OK,Proceed with bounded Type 2 brief,Multiple related rigid components; no data tables.
DEL-03-06,PKG-03,M,OK,Proceed with bounded Type 2 brief,Specialized but bounded component type.
DEL-03-07,PKG-03,M,OK,Proceed with bounded Type 2 brief,Connects schema with governance; no external import formats yet.
DEL-03-08,PKG-03,M,OK,Proceed with bounded Type 2 brief,Bounded calculation module using user-entered dimensions only.
DEL-04-01,PKG-04,L,WATCH,Confirm scope and split if it expands,Central solver kernel; large but single domain and foundational.
DEL-04-02,PKG-04,M,OK,Proceed with bounded Type 2 brief,Single element type.
DEL-04-03,PKG-04,M,OK,Proceed with bounded Type 2 brief,Support families are related and can share validation.
DEL-04-04,PKG-04,L,WATCH,Confirm scope and split if it expands,Complex; remains one numerical domain.
DEL-04-05,PKG-04,M,OK,Proceed with bounded Type 2 brief,Performance harness separate from solver logic.
DEL-04-06,PKG-04,M,OK,Proceed with bounded Type 2 brief,Focused diagnostic layer separate from the stiffness kernel.
DEL-05-01,PKG-05,M,OK,Proceed with bounded Type 2 brief,Primitive categories; code combinations remain external.
DEL-05-02,PKG-05,M,OK,Proceed with bounded Type 2 brief,Bounded algebra surface.
DEL-05-03,PKG-05,M,OK,Proceed with bounded Type 2 brief,Does not encode code stress equations.
DEL-05-04,PKG-05,S,OK,Proceed with bounded Type 2 brief,Small state model with high governance value.
DEL-05-05,PKG-05,M,OK,Proceed with bounded Type 2 brief,Keeps general user loads separate from code-specific combinations.
DEL-06-01,PKG-06,M,OK,Proceed with bounded Type 2 brief,Schema and examples only.
DEL-06-02,PKG-06,L,WATCH,Confirm scope and split if it expands,Security-sensitive and numerically important.
DEL-06-03,PKG-06,M,OK,Proceed with bounded Type 2 brief,Connects user data to rule-pack gating.
DEL-06-04,PKG-06,M,OK,Proceed with bounded Type 2 brief,Local lifecycle only; access control details defer to PKG-12.
DEL-06-05,PKG-06,S,OK,Proceed with bounded Type 2 brief,Example only; no proprietary content.
DEL-07-01,PKG-07,L,WATCH,Confirm scope and split if it expands,GUI surface is broad but bounded to viewport/editor.
