DeliverableID,PackageID,Name,Description,Type,AnticipatedArtifacts,CoversScopeItems,SupportsObjectives,ContextEnvelope,ContextEnvelopeNotes
DEL-01-01,PKG-01,Project governance baseline,Create the initial governance documents and maintainer policy skeleton for the public project.,DOC_UPDATE,docs/CONTRACT.md; docs/DIRECTIVE.md; governance/MAINTAINERS.md,"SOW-001,SOW-048","OBJ-001,OBJ-002",M,Single governance surface; policy language only.
DEL-01-02,PKG-01,Copyright and protected-data boundary policy,Define what data/code/text may not enter the public repository and how suspected protected content is quarantined.,DOC_UPDATE,docs/IP_AND_DATA_BOUNDARY.md; contribution review checklist,"SOW-003,SOW-028",OBJ-002,M,Requires careful wording and legal-review flags.
DEL-01-03,PKG-01,Contributor certification workflow,"Define contributor attestations, provenance fields, review routing, and rejection rules for public data contributions.",DOC_UPDATE,CONTRIBUTING.md section; contributor certification template,"SOW-028,SOW-048",OBJ-002,S,Bounded policy artifact.
DEL-01-04,PKG-01,Professional responsibility and product-claims policy,"Define permitted/prohibited claims, report disclaimers, and human approval boundaries.",DOC_UPDATE,docs/PROFESSIONAL_BOUNDARY.md; report notice template,SOW-034,OBJ-011,S,Policy wording; no code.
DEL-02-01,PKG-02,Canonical domain model schema,"Define project, model, node, element, material, component, load, result, and report entities.",DATA_MODEL_CHANGE,schemas/model.schema.yaml; docs/TYPES.md update,SOW-041,OBJ-001,M,Core schema touches many entity definitions but one domain.
DEL-02-02,PKG-02,Unit system and dimensional-analysis core contract,"Specify unit dimensions, conversion rules, storage conventions, and unit test obligations.",BACKEND_FEATURE_SLICE,core/units module contract; unit tests; docs/SPEC.md section,SOW-025,"OBJ-001,OBJ-012",M,Foundation for solver and rule engine.
DEL-02-03,PKG-02,Code-neutral analysis boundary model,"Define states and interfaces separating mechanics solve, user-rule check, and human professional approval.",DATA_MODEL_CHANGE,analysis_status enum; docs/SPEC.md state model,SOW-002,"OBJ-001,OBJ-011",S,Important semantic boundary; limited implementation surface.
DEL-02-04,PKG-02,Plugin and extension domain contracts,Define extension points and governance constraints for plugins/adapters.,API_CONTRACT,plugin interface spec; sandbox/permission model notes,SOW-038,OBJ-009,M,Cross-cutting but kept to domain/API definitions.
DEL-02-05,PKG-02,Project persistence and round-trip serialization,"Implement create/open/save/versioned project persistence and deterministic model round-trip behavior for units, loads, rule-pack refs, and provenance metadata.",DATA_MODEL_CHANGE,project file schema; round-trip tests; persistence service contract,"SOW-050,SOW-041","OBJ-001,OBJ-012",M,Single data persistence surface; file/storage format TBD.
DEL-03-01,PKG-03,Material library schema with provenance,"Define temperature-dependent material property records, source notes, redistribution status, and completeness flags.",DATA_MODEL_CHANGE,schemas/material.schema.yaml; material editor fixtures,SOW-017,OBJ-004,M,Schema plus tests; no proprietary data.
DEL-03-02,PKG-03,Pipe section and component library schema,"Define section/component records for user-entered dimensions, weights, COGs, and source/license metadata.",DATA_MODEL_CHANGE,schemas/component.schema.yaml; schemas/section.schema.yaml,SOW-018,OBJ-004,M,Library schema only; no protected tables.
DEL-03-03,PKG-03,Bend and elbow component model fields,"Implement model fields for bend geometry, user-entered SIFs, flexibility factors, and source metadata.",BACKEND_FEATURE_SLICE,bend component model; validation tests,SOW-007,OBJ-004,S,Single component family.
DEL-03-04,PKG-03,Branch connection component model fields,"Implement branch connection data fields for geometry, reinforcement, user SIF/flexibility, and source metadata.",BACKEND_FEATURE_SLICE,branch component model; validation tests,SOW-008,OBJ-004,M,Component model has more local fields but remains bounded.
DEL-03-05,PKG-03,"Rigid component models for valves, flanges, reducers, and specialty items","Implement rigid/semi-rigid component data structures using user dimensions, weights, COG, and stiffness behavior.",BACKEND_FEATURE_SLICE,rigid component models; reducer/flange/valve fixtures,SOW-009,OBJ-004,M,Multiple related rigid components; no data tables.
DEL-03-06,PKG-03,Expansion joint component model,"Implement manufacturer-data-driven expansion joint fields: stiffnesses, effective area, limits, hardware flags.",BACKEND_FEATURE_SLICE,expansion joint model; validation tests,SOW-010,OBJ-004,M,Specialized but bounded component type.
DEL-03-07,PKG-03,Public/private library import provenance checker,Implement import validation that records source/license/provenance and flags missing redistribution rights.,BACKEND_FEATURE_SLICE,library import validator; provenance tests,"SOW-019,SOW-044","OBJ-002,OBJ-004",M,Connects schema with governance; no external import formats yet.
