DeliverableID,PackageID,Name,Description,Type,AnticipatedArtifacts,CoversScopeItems,SupportsObjectives,ContextEnvelope,ContextEnvelopeNotes
DEL-00-01,PKG-00,Architecture decision record baseline,"Create the architecture decision record baseline for stack, runtime, GUI framework, solver-library, and packaging target choices.",DOC_UPDATE,docs/architecture/adr/index.md; docs/architecture/adr/template.md,SOW-056,OBJ-013,M,SCA-001 accepted runtime/UI baseline; exact dependency versions and solver numerical library remain TBD.
DEL-00-02,PKG-00,Repository and module boundary architecture,"Define repository layout, module ownership, dependency rules, layer responsibilities, and cross-module boundary contracts.",API_CONTRACT,docs/architecture/module_boundaries.md; architecture dependency rules,"SOW-057,SOW-062",OBJ-013,M,SCA-001 architecture basis AB-00-02; concrete folder names may refine without changing layer responsibilities.
DEL-00-03,PKG-00,Application service command-query-job model,"Define command, query, transaction, background job, cancellation, and progress interfaces connecting GUI, CLI, domain core, solver, storage, reports, and adapters.",API_CONTRACT,docs/architecture/application_services.md; service interface contracts,"SOW-058,SOW-062",OBJ-013,L,SCA-001 architecture basis AB-00-03; command/query/job/result-envelope constraints are dispatchable.
DEL-00-04,PKG-00,Persistence and schema versioning architecture,"Define project persistence format, schema versioning, migrations, canonicalization, and deterministic round-trip serialization strategy.",DATA_MODEL_CHANGE,docs/architecture/persistence_versioning.md; schema versioning contract,SOW-059,OBJ-013,L,"SCA-001 accepted JSON Schema 2020-12, canonical JSON, and JCS-compatible hash basis; physical container remains TBD."
DEL-00-05,PKG-00,GUI state and interaction architecture,"Define GUI state, editing, selection, undo/redo, viewport integration, and workflow architecture for coherent GUI feature slices.",UX_UI_SLICE,docs/architecture/gui_state_model.md; interaction architecture notes,SOW-060,OBJ-013,L,"SCA-001 accepted durable/transient GUI state split, service-command mutation route, and scoped undo/redo; exact state library remains TBD."
DEL-00-06,PKG-00,"Diagnostics, warning, and result-envelope contract","Define diagnostics, warning classes, errors, result envelopes, and user-facing/machine-readable failure contracts across software layers.",DATA_MODEL_CHANGE,docs/architecture/diagnostics_contract.md; result envelope schema,SOW-061,OBJ-013,M,SCA-001 accepted diagnostics/result-envelope warning classes and no certification/compliance claims.
DEL-00-07,PKG-00,API boundary and adapter contract map,"Define internal and public API boundaries among GUI, application services, domain core, solver, storage, reporting, private libraries, plugins, and adapters.",API_CONTRACT,docs/architecture/api_boundary_map.md; adapter contract map,SOW-062,OBJ-013,M,SCA-001 accepted no-bypass API/adapter boundary; public transport and concrete import/export formats remain TBD.
DEL-00-08,PKG-00,Layered software test and acceptance strategy,"Define layered software test strategy and acceptance gates for architecture, schemas, services, solver, GUI, CLI, reports, packaging, security, and regressions.",TEST_SUITE,docs/architecture/test_strategy.md; acceptance gate matrix,SOW-063,OBJ-013,M,"SCA-001 accepted Cargo, Vitest, Playwright, validation, and protected-content/provenance test gate baseline; CI details remain TBD."
DEL-01-01,PKG-01,Project governance baseline,Create the initial governance documents and maintainer policy skeleton for the public project.,DOC_UPDATE,docs/CONTRACT.md; docs/DIRECTIVE.md; governance/MAINTAINERS.md,"SOW-001,SOW-048","OBJ-001,OBJ-002",M,Single governance surface; policy language only.
DEL-01-02,PKG-01,Copyright and protected-data boundary policy,Define what data/code/text may not enter the public repository and how suspected protected content is quarantined.,DOC_UPDATE,docs/IP_AND_DATA_BOUNDARY.md; contribution review checklist,"SOW-003,SOW-028",OBJ-002,M,Requires careful wording and legal-review flags.
DEL-01-03,PKG-01,Contributor certification workflow,"Define contributor attestations, provenance fields, review routing, and rejection rules for public data contributions.",DOC_UPDATE,CONTRIBUTING.md section; contributor certification template,"SOW-028,SOW-048",OBJ-002,S,Bounded policy artifact.
DEL-01-04,PKG-01,Professional responsibility and product-claims policy,"Define permitted/prohibited claims, report disclaimers, human approval boundaries, and product claim boundaries for the design-engine scope.",DOC_UPDATE,docs/PROFESSIONAL_BOUNDARY.md; report notice template,"SOW-034,SOW-064","OBJ-011,OBJ-018",S,Policy wording and product-claims boundaries; no code.
DEL-02-01,PKG-02,Canonical domain model schema,"Define project, physical model, analytical model, material, component, load, result, and report entities.",DATA_MODEL_CHANGE,schemas/model.schema.yaml; docs/TYPES.md update,"SOW-041,SOW-065","OBJ-001,OBJ-012,OBJ-014",M,Schema deliverable must use JSON Schema 2020-12 baseline from SCA-001 and preserve the physical-model source-of-truth contract.
DEL-02-02,PKG-02,Unit system and dimensional-analysis core contract,"Specify unit dimensions, conversion rules, storage conventions, and unit test obligations.",BACKEND_FEATURE_SLICE,core/units module contract; unit tests; docs/SPEC.md section,SOW-025,"OBJ-001,OBJ-012",M,Foundation for solver and rule engine.
DEL-02-03,PKG-02,Code-neutral analysis boundary model,"Define states and interfaces separating mechanics solve, user-rule check, and human professional approval.",DATA_MODEL_CHANGE,analysis_status enum; docs/SPEC.md state model,SOW-002,"OBJ-001,OBJ-011",S,Important semantic boundary; limited implementation surface.
DEL-02-04,PKG-02,Plugin and extension domain contracts,Define extension points and governance constraints for plugins/adapters.,API_CONTRACT,plugin interface spec; sandbox/permission model notes,SOW-038,OBJ-009,M,Plugin/extension contracts must enforce SCA-001 no-bypass units/provenance/diagnostics/data-boundary constraints.
DEL-02-05,PKG-02,Project persistence and round-trip serialization,"Implement create/open/save/versioned project persistence and deterministic model round-trip behavior for units, loads, rule-pack refs, and provenance metadata.",DATA_MODEL_CHANGE,project file schema; round-trip tests; persistence service contract,"SOW-050,SOW-041","OBJ-001,OBJ-012",M,Persistence deliverable must use SCA-001 schema-governed canonical JSON/JCS hash basis; physical container remains TBD.
DEL-03-01,PKG-03,Material library schema with provenance,"Define temperature-dependent material property records, source notes, redistribution status, and completeness flags.",DATA_MODEL_CHANGE,schemas/material.schema.yaml; material editor fixtures,SOW-017,OBJ-004,M,Schema plus tests; no proprietary data.
DEL-03-02,PKG-03,Pipe section and component library schema,"Define section/component records for user-entered dimensions, weights, COGs, and source/license metadata.",DATA_MODEL_CHANGE,schemas/component.schema.yaml; schemas/section.schema.yaml,SOW-018,OBJ-004,M,Library schema only; no protected tables.
DEL-03-03,PKG-03,Bend and elbow component model fields,"Implement model fields for bend geometry, user-entered SIFs, flexibility factors, and source metadata.",BACKEND_FEATURE_SLICE,bend component model; validation tests,SOW-007,OBJ-004,S,Single component family.
DEL-03-04,PKG-03,Branch connection component model fields,"Implement branch connection data fields for geometry, reinforcement, user SIF/flexibility, and source metadata.",BACKEND_FEATURE_SLICE,branch component model; validation tests,SOW-008,OBJ-004,M,Component model has more local fields but remains bounded.
DEL-03-05,PKG-03,"Rigid component models for valves, flanges, reducers, and specialty items","Implement rigid/semi-rigid component data structures using user dimensions, weights, COG, and stiffness behavior.",BACKEND_FEATURE_SLICE,rigid component models; reducer/flange/valve fixtures,SOW-009,OBJ-004,M,Multiple related rigid components; no data tables.
DEL-03-06,PKG-03,Expansion joint component model,"Implement manufacturer-data-driven expansion joint fields: stiffnesses, effective area, limits, hardware flags.",BACKEND_FEATURE_SLICE,expansion joint model; validation tests,SOW-010,OBJ-004,M,Specialized but bounded component type.
DEL-03-07,PKG-03,Public/private library import provenance checker,Implement import validation that records source/license/provenance and flags missing redistribution rights.,BACKEND_FEATURE_SLICE,library import validator; provenance tests,"SOW-019,SOW-044","OBJ-002,OBJ-004",M,Connects schema with governance; no external import formats yet.
DEL-03-08,PKG-03,Pipe section property and mass-property calculator,"Implement unit-aware section and mass-property calculations from user-entered pipe OD, wall, density, contents, insulation, and corrosion basis where applicable.",BACKEND_FEATURE_SLICE,section property calculator; mass property tests; schema hooks,"SOW-051,SOW-018","OBJ-004,OBJ-012",M,Bounded calculation module using user-entered dimensions only.
DEL-04-01,PKG-04,3D frame stiffness kernel,"Implement the global 3D frame stiffness assembly, coordinate transforms, boundary conditions, and sparse solve interface.",BACKEND_FEATURE_SLICE,core/solver/frame_kernel; unit tests,"SOW-005,SOW-035",OBJ-003,L,Central solver kernel; large but single domain and foundational.
DEL-04-02,PKG-04,Straight pipe element,"Implement straight pipe local stiffness, section-property integration, weight hooks, and element force recovery.",BACKEND_FEATURE_SLICE,straight pipe element; solver tests,SOW-006,OBJ-003,M,Single element type.
DEL-04-03,PKG-04,Linear support and restraint models,"Implement anchors, guides, line stops, vertical supports, springs, and imposed displacement boundary data.",BACKEND_FEATURE_SLICE,support model; linear restraint tests,SOW-011,OBJ-003,M,Support families are related and can share validation.
DEL-04-04,PKG-04,Nonlinear support active-set solver,"Implement iterative activation for one-way supports, gaps, lift-off, and friction with convergence reporting.",BACKEND_FEATURE_SLICE,nonlinear solver loop; convergence tests,SOW-012,OBJ-003,L,Complex; remains one numerical domain.
DEL-04-05,PKG-04,Sparse solver performance harness,Create deterministic performance/regression harness for practical model sizes and solver numerical conditioning.,TEST_SUITE,performance tests; benchmark harness,SOW-035,"OBJ-003,OBJ-008",M,Performance harness separate from solver logic.
DEL-04-06,PKG-04,Solver diagnostics and singularity detection,"Implement deterministic diagnostics for singular systems, ill-conditioning, nonconvergence, invalid restraints, and solver status reporting.",BACKEND_FEATURE_SLICE,solver diagnostics module; singular-model tests; conditioning warnings,"SOW-053,SOW-035","OBJ-003,OBJ-008,OBJ-012",M,Focused diagnostic layer separate from the stiffness kernel.
DEL-05-01,PKG-05,Primitive load case engine,"Implement load definitions for weight, pressure, thermal, displacement, hydrotest, wind, seismic, and occasional categories.",BACKEND_FEATURE_SLICE,load case model; load application tests,SOW-013,OBJ-003,M,Primitive categories; code combinations remain external.
DEL-05-02,PKG-05,Load-case algebra engine,Implement unit-aware algebra for user-defined combinations and result-state subtraction/ranging.,BACKEND_FEATURE_SLICE,combination engine; expression tests,SOW-014,"OBJ-003,OBJ-005",M,Bounded algebra surface.
DEL-05-03,PKG-05,Fundamental stress recovery module,"Implement mechanics stress recovery from axial force, bending, torsion, pressure, and section properties.",BACKEND_FEATURE_SLICE,stress recovery module; hand-calc tests,SOW-015,OBJ-003,M,Does not encode code stress equations.
DEL-05-04,PKG-05,Analysis status semantics,"Implement explicit statuses for mechanics solved, rule-pack checked, incomplete data, and human-approved/not human-approved.",DATA_MODEL_CHANGE,analysis status enum; API/result fields; tests,SOW-047,"OBJ-005,OBJ-011",S,Small state model with high governance value.
DEL-05-05,PKG-05,Concentrated and distributed user load application,"Implement concentrated forces, concentrated moments, and distributed user loads with unit-aware application and result recovery hooks.",BACKEND_FEATURE_SLICE,load application module; load tests; result hooks,"SOW-052,SOW-013","OBJ-003,OBJ-012",M,Keeps general user loads separate from code-specific combinations.
DEL-06-01,PKG-06,Rule-pack schema,"Define the rule-pack artifact schema: metadata, required inputs, formulas, allowables, statuses, and redistribution flags.",DATA_MODEL_CHANGE,schemas/rule_pack.schema.yaml; docs/SPEC.md update,"SOW-016,SOW-042",OBJ-005,M,Rule-pack schema must align with JSON Schema 2020-12 and checksum/provenance basis.
DEL-06-02,PKG-06,Sandboxed unit-aware expression evaluator,"Implement safe formula evaluation with unit checking, variable binding, and deterministic error reporting.",BACKEND_FEATURE_SLICE,rule evaluator module; evaluator tests,SOW-045,OBJ-005,L,"Evaluator must remain sandboxed, unit-aware, and declarative; exact expression grammar/library remains TBD."
DEL-06-03,PKG-06,Required-input completeness checker,Implement rule-pack completeness checks that block code-check status when required user-supplied inputs are missing.,BACKEND_FEATURE_SLICE,rule completeness checker; tests,SOW-004,"OBJ-002,OBJ-005",M,Connects user data to rule-pack gating.
DEL-06-04,PKG-06,Private rule-pack lifecycle and checksum handling,"Implement versioning, local-private storage markers, checksums, and audit manifest hooks for rule packs.",BACKEND_FEATURE_SLICE,rule pack registry; checksum tests,SOW-042,"OBJ-002,OBJ-005",M,Checksum handling must align with SCA-001 canonical JSON/JCS hash basis where payloads are JSON.
