ScopeItemID,InOutStatus,ScopeItemStatement,SourceRef,PackageID,DeliverableIDs,ObjectiveIDs,DecisionRef,OpenIssue,Notes
SOW-001,IN,The project shall produce a free and open-source piping stress analysis platform.,"INTENT.md §Core intent; PRD §1, §4",PKG-01,DEL-01-01,OBJ-001,,FALSE,Open-source licensing choice remains TBD.
SOW-002,IN,The software shall remain code-neutral: the solver computes mechanics and user-supplied rule packs evaluate acceptability.,INTENT.md §Product identity; PRD §6.1,PKG-02,DEL-02-03,OBJ-001,,FALSE,Do not encode a proprietary code as the default public product.
SOW-003,IN,"The public repository shall not redistribute protected standards text, tables, figures, examples, material allowables, SIF tables, flexibility-factor tables, or protected dimensional tables.","INTENT.md §Copyright-respecting design principle; PRD §5, §17",PKG-01,DEL-01-02,OBJ-002,,FALSE,Legal review required before accepting any public data contribution.
SOW-004,IN,The system shall require users to supply code-specific and project-specific data needed for code checks.,"INTENT.md §User-supplied code and data layer; PRD §6.1, §12",PKG-06,DEL-06-03,"OBJ-002, OBJ-005",,FALSE,Rule-pack completeness must be machine-checkable.
SOW-005,IN,The analytical core shall model piping as a 3D centerline/frame system with six degrees of freedom per node.,INTENT.md §Analytical engine intent; PRD §11.1-§11.2,PKG-04,DEL-04-01,OBJ-003,,FALSE,"Primary global model is line-element, not routine solid meshing."
SOW-006,IN,The solver shall implement straight pipe elements with open mechanics section and stiffness calculations.,PRD §11.3.1,PKG-04,DEL-04-02,OBJ-003,,FALSE,Pipe dimensions come from user data or lawful libraries.
SOW-007,IN,"The component model shall support bends and elbows with user-entered SIFs, flexibility factors, and bend geometry.",INTENT.md §Analytical engine intent; PRD §11.3.2,PKG-03,DEL-03-03,OBJ-004,,FALSE,Do not bundle B31J-derived tables/equations.
SOW-008,IN,"The component model shall support branch connections with user-entered reinforcement, SIF, flexibility, and local data fields.",PRD §11.3.3,PKG-03,DEL-03-04,OBJ-004,,FALSE,Branch local checks may require future specialized modules.
SOW-009,IN,"The component model shall support rigid and semi-rigid valves, flanges, reducers, and specialty items using user-supplied dimensions, weights, and centers of gravity.",PRD §11.3.4-§11.3.5,PKG-03,DEL-03-05,OBJ-004,,FALSE,Public component data must be licensed.
SOW-010,IN,"The component model shall support expansion joints using manufacturer/user-supplied stiffness, effective area, movement limits, and hardware data.",PRD §11.3.6,PKG-03,DEL-03-06,OBJ-004,,FALSE,No invented expansion joint defaults.
SOW-011,IN,"The solver shall support anchors, guides, line stops, vertical supports, springs, and imposed displacements.",PRD §11.4,PKG-04,DEL-04-03,OBJ-003,,FALSE,Initial release may limit to linear supports.
SOW-012,IN,"The solver shall support nonlinear support behavior such as one-way restraints, lift-off, gaps, and friction through a controlled iterative method.","PRD §11.4, §22.4",PKG-04,DEL-04-04,OBJ-003,,FALSE,MVP may defer some nonlinear cases.
