DeliverableID,PackageID,ContextEnvelope,Risk,RecommendedAction,Notes
DEL-00-01,PKG-00,M,OK,Proceed with bounded Type 2 brief,SCA-001 accepted runtime/UI baseline; exact dependency versions and solver numerical library remain TBD.
DEL-00-02,PKG-00,M,OK,Proceed with bounded Type 2 brief,SCA-001 architecture basis AB-00-02; concrete folder names may refine without changing layer responsibilities.
DEL-00-03,PKG-00,L,WATCH,Confirm scope and split if it expands,SCA-001 architecture basis AB-00-03; command/query/job/result-envelope constraints are dispatchable.
DEL-00-04,PKG-00,L,WATCH,Confirm scope and split if it expands,"SCA-001 accepted JSON Schema 2020-12, canonical JSON, and JCS-compatible hash basis; physical container remains TBD."
DEL-00-05,PKG-00,L,WATCH,Confirm scope and split if it expands,"SCA-001 accepted durable/transient GUI state split, service-command mutation route, and scoped undo/redo; exact state library remains TBD."
DEL-00-06,PKG-00,M,OK,Proceed with bounded Type 2 brief,SCA-001 accepted diagnostics/result-envelope warning classes and no certification/compliance claims.
DEL-00-07,PKG-00,M,OK,Proceed with bounded Type 2 brief,SCA-001 accepted no-bypass API/adapter boundary; public transport and concrete import/export formats remain TBD.
DEL-00-08,PKG-00,M,OK,Proceed with bounded Type 2 brief,"SCA-001 accepted Cargo, Vitest, Playwright, validation, and protected-content/provenance test gate baseline; CI details remain TBD."
DEL-01-01,PKG-01,M,OK,Proceed with bounded Type 2 brief,Single governance surface; policy language only.
DEL-01-02,PKG-01,M,OK,Proceed with bounded Type 2 brief,Requires careful wording and legal-review flags.
DEL-01-03,PKG-01,S,OK,Proceed with bounded Type 2 brief,Bounded policy artifact.
DEL-01-04,PKG-01,S,OK,Proceed with bounded Type 2 brief,Policy wording and product-claims boundaries; no code.
DEL-02-01,PKG-02,M,OK,Proceed with bounded Type 2 brief,Schema deliverable must use JSON Schema 2020-12 baseline from SCA-001 and preserve the physical-model source-of-truth contract.
DEL-02-02,PKG-02,M,OK,Proceed with bounded Type 2 brief,Foundation for solver and rule engine.
DEL-02-03,PKG-02,S,OK,Proceed with bounded Type 2 brief,Important semantic boundary; limited implementation surface.
DEL-02-04,PKG-02,M,OK,Proceed with bounded Type 2 brief,Plugin/extension contracts must enforce SCA-001 no-bypass units/provenance/diagnostics/data-boundary constraints.
DEL-02-05,PKG-02,M,OK,Proceed with bounded Type 2 brief,Persistence deliverable must use SCA-001 schema-governed canonical JSON/JCS hash basis; physical container remains TBD.
DEL-03-01,PKG-03,M,OK,Proceed with bounded Type 2 brief,Schema plus tests; no proprietary data.
DEL-03-02,PKG-03,M,OK,Proceed with bounded Type 2 brief,Library schema only; no protected tables.
DEL-03-03,PKG-03,S,OK,Proceed with bounded Type 2 brief,Single component family.
DEL-03-04,PKG-03,M,OK,Proceed with bounded Type 2 brief,Component model has more local fields but remains bounded.
DEL-03-05,PKG-03,M,OK,Proceed with bounded Type 2 brief,Multiple related rigid components; no data tables.
DEL-03-06,PKG-03,M,OK,Proceed with bounded Type 2 brief,Specialized but bounded component type.
DEL-03-07,PKG-03,M,OK,Proceed with bounded Type 2 brief,Connects schema with governance; no external import formats yet.
DEL-03-08,PKG-03,M,OK,Proceed with bounded Type 2 brief,Bounded calculation module using user-entered dimensions only.
DEL-04-01,PKG-04,L,WATCH,Confirm scope and split if it expands,Central solver kernel; large but single domain and foundational.
DEL-04-02,PKG-04,M,OK,Proceed with bounded Type 2 brief,Single element type.
DEL-04-03,PKG-04,M,OK,Proceed with bounded Type 2 brief,Support families are related and can share validation.
DEL-04-04,PKG-04,L,WATCH,Confirm scope and split if it expands,Complex; remains one numerical domain.
DEL-04-05,PKG-04,M,OK,Proceed with bounded Type 2 brief,Performance harness separate from solver logic.
DEL-04-06,PKG-04,M,OK,Proceed with bounded Type 2 brief,Focused diagnostic layer separate from the stiffness kernel.
