RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DAG-002-E0751,PKG-16,DEL-16-04,Agent rationale and professional-boundary controls,EXECUTION,DELIVERABLE,UPSTREAM,ARCHITECTURE_BASIS,DELIVERABLE,PKG-00,DEL-00-01,DEL-00-01,Architecture decision record baseline,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-01_Architecture decision record baseline,DEL-16-04 needs DEL-00-01 as a predecessor: Architecture basis remains prerequisite context for sealed downstream work.,execution/_Decomposition/SOFTWARE_DECOMP.md,SCA-001 architecture-basis injection for revision 0.5 added node,Edge-disposition review authorized this active proposal row for graph validation before human approval.,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,CONTEXT,2026-05-03,2026-05-03,ACTIVE,Added by SCA-002 DAG-002 edge-disposition review; active edge approved for coordination by execution/_DAG/DAG-002/APPROVAL_RECORD.md; not Type 2 dispatch authority by itself
v3.1,DAG-002-E0752,PKG-16,DEL-16-04,Agent rationale and professional-boundary controls,EXECUTION,DELIVERABLE,UPSTREAM,ARCHITECTURE_BASIS,DELIVERABLE,PKG-00,DEL-00-02,DEL-00-02,Repository and module boundary architecture,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-02_Repository and module boundary architecture,DEL-16-04 needs DEL-00-02 as a predecessor: Architecture basis remains prerequisite context for sealed downstream work.,execution/_Decomposition/SOFTWARE_DECOMP.md,SCA-001 architecture-basis injection for revision 0.5 added node,Edge-disposition review authorized this active proposal row for graph validation before human approval.,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,CONTEXT,2026-05-03,2026-05-03,ACTIVE,Added by SCA-002 DAG-002 edge-disposition review; active edge approved for coordination by execution/_DAG/DAG-002/APPROVAL_RECORD.md; not Type 2 dispatch authority by itself
v3.1,DAG-002-E0753,PKG-16,DEL-16-04,Agent rationale and professional-boundary controls,EXECUTION,DELIVERABLE,UPSTREAM,ARCHITECTURE_BASIS,DELIVERABLE,PKG-00,DEL-00-03,DEL-00-03,Application service command-query-job model,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-03_Application service command-query-job model,DEL-16-04 needs DEL-00-03 as a predecessor: Architecture basis remains prerequisite context for sealed downstream work.,execution/_Decomposition/SOFTWARE_DECOMP.md,SCA-001 architecture-basis injection for revision 0.5 added node,Edge-disposition review authorized this active proposal row for graph validation before human approval.,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,CONTEXT,2026-05-03,2026-05-03,ACTIVE,Added by SCA-002 DAG-002 edge-disposition review; active edge approved for coordination by execution/_DAG/DAG-002/APPROVAL_RECORD.md; not Type 2 dispatch authority by itself
v3.1,DAG-002-E0754,PKG-16,DEL-16-04,Agent rationale and professional-boundary controls,EXECUTION,DELIVERABLE,UPSTREAM,ARCHITECTURE_BASIS,DELIVERABLE,PKG-00,DEL-00-04,DEL-00-04,Persistence and schema versioning architecture,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-04_Persistence and schema versioning architecture,DEL-16-04 needs DEL-00-04 as a predecessor: Architecture basis remains prerequisite context for sealed downstream work.,execution/_Decomposition/SOFTWARE_DECOMP.md,SCA-001 architecture-basis injection for revision 0.5 added node,Edge-disposition review authorized this active proposal row for graph validation before human approval.,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,CONTEXT,2026-05-03,2026-05-03,ACTIVE,Added by SCA-002 DAG-002 edge-disposition review; active edge approved for coordination by execution/_DAG/DAG-002/APPROVAL_RECORD.md; not Type 2 dispatch authority by itself
v3.1,DAG-002-E0755,PKG-16,DEL-16-04,Agent rationale and professional-boundary controls,EXECUTION,DELIVERABLE,UPSTREAM,ARCHITECTURE_BASIS,DELIVERABLE,PKG-00,DEL-00-06,DEL-00-06,"Diagnostics, warning, and result-envelope contract","execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-06_Diagnostics, warning, and result-envelope contract",DEL-16-04 needs DEL-00-06 as a predecessor: Architecture basis remains prerequisite context for sealed downstream work.,execution/_Decomposition/SOFTWARE_DECOMP.md,SCA-001 architecture-basis injection for revision 0.5 added node,Edge-disposition review authorized this active proposal row for graph validation before human approval.,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,CONTEXT,2026-05-03,2026-05-03,ACTIVE,Added by SCA-002 DAG-002 edge-disposition review; active edge approved for coordination by execution/_DAG/DAG-002/APPROVAL_RECORD.md; not Type 2 dispatch authority by itself
v3.1,DAG-002-E0756,PKG-16,DEL-16-04,Agent rationale and professional-boundary controls,EXECUTION,DELIVERABLE,UPSTREAM,ARCHITECTURE_BASIS,DELIVERABLE,PKG-00,DEL-00-07,DEL-00-07,API boundary and adapter contract map,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-07_API boundary and adapter contract map,DEL-16-04 needs DEL-00-07 as a predecessor: Architecture basis remains prerequisite context for sealed downstream work.,execution/_Decomposition/SOFTWARE_DECOMP.md,SCA-001 architecture-basis injection for revision 0.5 added node,Edge-disposition review authorized this active proposal row for graph validation before human approval.,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,CONTEXT,2026-05-03,2026-05-03,ACTIVE,Added by SCA-002 DAG-002 edge-disposition review; active edge approved for coordination by execution/_DAG/DAG-002/APPROVAL_RECORD.md; not Type 2 dispatch authority by itself
v3.1,DAG-002-E0757,PKG-16,DEL-16-04,Agent rationale and professional-boundary controls,EXECUTION,DELIVERABLE,UPSTREAM,ARCHITECTURE_BASIS,DELIVERABLE,PKG-00,DEL-00-08,DEL-00-08,Layered software test and acceptance strategy,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-08_Layered software test and acceptance strategy,DEL-16-04 needs DEL-00-08 as a predecessor: Architecture basis remains prerequisite context for sealed downstream work.,execution/_Decomposition/SOFTWARE_DECOMP.md,SCA-001 architecture-basis injection for revision 0.5 added node,Edge-disposition review authorized this active proposal row for graph validation before human approval.,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,CONTEXT,2026-05-03,2026-05-03,ACTIVE,Added by SCA-002 DAG-002 edge-disposition review; active edge approved for coordination by execution/_DAG/DAG-002/APPROVAL_RECORD.md; not Type 2 dispatch authority by itself
v3.1,DAG-002-E0837,PKG-16,DEL-16-04,Agent rationale and professional-boundary controls,EXECUTION,DELIVERABLE,UPSTREAM,GOVERNANCE_PREDECESSOR,DELIVERABLE,PKG-01,DEL-01-04,DEL-01-04,Professional responsibility and product-claims policy,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-04_Professional responsibility and product-claims policy",DEL-16-04 needs DEL-01-04 as a predecessor: Agent rationale must preserve professional-boundary controls.,execution/_DAG/DAG-002/DAG-002_EdgeDispositionReview.md,DAG2-RD-014; execution/_DAG/DAG-002/DAG-002_EdgeDispositionReview.md,Edge-disposition review authorized this active proposal row for graph validation before human approval.,INFERRED_DIRECT,SEMANTIC_READY,SEMANTIC_READY,UNKNOWN,HIGH,GRAPH_REVIEW,2026-05-03,2026-05-03,ACTIVE,Added by SCA-002 DAG-002 edge-disposition review; active edge approved for coordination by execution/_DAG/DAG-002/APPROVAL_RECORD.md; not Type 2 dispatch authority by itself
v3.1,DAG-002-E0838,PKG-16,DEL-16-04,Agent rationale and professional-boundary controls,EXECUTION,DELIVERABLE,UPSTREAM,GOVERNANCE_PREDECESSOR,DELIVERABLE,PKG-16,DEL-16-03,DEL-16-03,User acceptance and operation audit trail,execution/PKG-16_Model Operation and Agent Proposal Framework/1_Working/DEL-16-03_User acceptance and operation audit trail,DEL-16-04 needs DEL-16-03 as a predecessor: Agent rationale binds to accepted-operation audit trail.,execution/_DAG/DAG-002/DAG-002_EdgeDispositionReview.md,DAG2-RD-014; execution/_DAG/DAG-002/DAG-002_EdgeDispositionReview.md,Edge-disposition review authorized this active proposal row for graph validation before human approval.,INFERRED_DIRECT,SEMANTIC_READY,SEMANTIC_READY,UNKNOWN,HIGH,GRAPH_REVIEW,2026-05-03,2026-05-03,ACTIVE,Added by SCA-002 DAG-002 edge-disposition review; active edge approved for coordination by execution/_DAG/DAG-002/APPROVAL_RECORD.md; not Type 2 dispatch authority by itself
v3.1,DAG-002-E0839,PKG-16,DEL-16-04,Agent rationale and professional-boundary controls,EXECUTION,DELIVERABLE,UPSTREAM,SECURITY_PREDECESSOR,DELIVERABLE,PKG-12,DEL-12-05,DEL-12-05,Security threat model,"execution/PKG-12_Security, Privacy, and Private Data Handling/1_Working/DEL-12-05_Security threat model",DEL-16-04 needs DEL-12-05 as a predecessor: Agent rationale needs threat-model review.,execution/_DAG/DAG-002/DAG-002_EdgeDispositionReview.md,DAG2-RD-014; execution/_DAG/DAG-002/DAG-002_EdgeDispositionReview.md,Edge-disposition review authorized this active proposal row for graph validation before human approval.,INFERRED_DIRECT,SEMANTIC_READY,SEMANTIC_READY,UNKNOWN,HIGH,GRAPH_REVIEW,2026-05-03,2026-05-03,ACTIVE,Added by SCA-002 DAG-002 edge-disposition review; active edge approved for coordination by execution/_DAG/DAG-002/APPROVAL_RECORD.md; not Type 2 dispatch authority by itself
