DeliverableID,PackageID,Name,ContextStatus,ContextPath,Revision05ScopeItems,Revision05Objectives,Reason
DEL-00-01,PKG-00,Architecture decision record baseline,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-01_Architecture decision record baseline/_CONTEXT.md,SOW-056,OBJ-013,retired_decomposition_path
DEL-00-02,PKG-00,Repository and module boundary architecture,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-02_Repository and module boundary architecture/_CONTEXT.md,"SOW-057,SOW-062",OBJ-013,retired_decomposition_path
DEL-00-03,PKG-00,Application service command-query-job model,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-03_Application service command-query-job model/_CONTEXT.md,"SOW-058,SOW-062",OBJ-013,retired_decomposition_path
DEL-00-04,PKG-00,Persistence and schema versioning architecture,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-04_Persistence and schema versioning architecture/_CONTEXT.md,SOW-059,OBJ-013,retired_decomposition_path
DEL-00-05,PKG-00,GUI state and interaction architecture,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-05_GUI state and interaction architecture/_CONTEXT.md,SOW-060,OBJ-013,retired_decomposition_path
DEL-00-06,PKG-00,"Diagnostics, warning, and result-envelope contract",REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-06_Diagnostics, warning, and result-envelope contract/_CONTEXT.md",SOW-061,OBJ-013,retired_decomposition_path
DEL-00-07,PKG-00,API boundary and adapter contract map,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-07_API boundary and adapter contract map/_CONTEXT.md,SOW-062,OBJ-013,retired_decomposition_path
DEL-00-08,PKG-00,Layered software test and acceptance strategy,REGENERATE_OR_EXPLICITLY_DEFER,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-08_Layered software test and acceptance strategy/_CONTEXT.md,SOW-063,OBJ-013,retired_decomposition_path
DEL-01-01,PKG-01,Project governance baseline,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-01_Project governance baseline/_CONTEXT.md","SOW-001,SOW-048","OBJ-001,OBJ-002",retired_decomposition_path;revision_0_4_reference
DEL-01-02,PKG-01,Copyright and protected-data boundary policy,REGENERATE_OR_EXPLICITLY_DEFER,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-02_Copyright and protected-data boundary policy/_CONTEXT.md","SOW-003,SOW-028",OBJ-002,retired_decomposition_path;revision_0_4_reference
