DeliverableID,PackageID,EvidenceState,Commit,CommitSubject,Revision05Name,Revision05Type,Revision05ScopeItems,Revision05Objectives,CompatibilityFlag,Notes
DEL-01-01,PKG-01,COMMITTED,7650cf6,docs: tighten maintainer governance gates,Project governance baseline,DOC_UPDATE,"SOW-001,SOW-048","OBJ-001,OBJ-002",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-01-02,PKG-01,COMMITTED,0d729cf,docs: tighten protected data boundary,Copyright and protected-data boundary policy,DOC_UPDATE,"SOW-003,SOW-028",OBJ-002,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-01-03,PKG-01,COMMITTED,df461f8,docs: add contributor certification workflow,Contributor certification workflow,DOC_UPDATE,"SOW-028,SOW-048",OBJ-002,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-01-04,PKG-01,COMMITTED,65f3119,docs: add professional boundary policy,Professional responsibility and product-claims policy,DOC_UPDATE,"SOW-034,SOW-064","OBJ-011,OBJ-018",TARGETED_SCOPE_REVIEW_REQUIRED,Historical evidence remains usable only after REVIEW confirms revised scope fit.
DEL-02-01,PKG-02,COMMITTED,7b256f3,schema: tighten canonical domain model contract,Canonical domain model schema,DATA_MODEL_CHANGE,"SOW-041,SOW-065","OBJ-001,OBJ-012,OBJ-014",TARGETED_SCOPE_REVIEW_REQUIRED,Historical evidence remains usable only after REVIEW confirms revised scope fit.
DEL-02-02,PKG-02,COMMITTED,a458cba,schema: tighten unit system contract,Unit system and dimensional-analysis core contract,BACKEND_FEATURE_SLICE,SOW-025,"OBJ-001,OBJ-012",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-02-03,PKG-02,COMMITTED,abc1306,schema: tighten analysis boundary model,Code-neutral analysis boundary model,DATA_MODEL_CHANGE,SOW-002,"OBJ-001,OBJ-011",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-02-04,PKG-02,COMMITTED,ef44f4c,schema: tighten plugin extension contract,Plugin and extension domain contracts,API_CONTRACT,SOW-038,OBJ-009,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-02-05,PKG-02,COMMITTED,742016e,schema: tighten project persistence contract,Project persistence and round-trip serialization,DATA_MODEL_CHANGE,"SOW-050,SOW-041","OBJ-001,OBJ-012",ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-03-01,PKG-03,COMMITTED,3793e87,schema: add material library provenance contract,Material library schema with provenance,DATA_MODEL_CHANGE,SOW-017,OBJ-004,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-03-02,PKG-03,COMMITTED,f0fdeac,schema: add section and component library contracts,Pipe section and component library schema,DATA_MODEL_CHANGE,SOW-018,OBJ-004,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-03-03,PKG-03,COMMITTED,7a84472,schema: add bend elbow component contract,Bend and elbow component model fields,BACKEND_FEATURE_SLICE,SOW-007,OBJ-004,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
DEL-03-04,PKG-03,COMMITTED,ae693b6,schema: add branch component contract,Branch connection component model fields,BACKEND_FEATURE_SLICE,SOW-008,OBJ-004,ID_MAPS_TO_REVISION_0_5,ID exists in revision 0.5; completeness still depends on refreshed graph/context review.
