ScopeItemID,PackageID,DeliverableIDs,ObjectiveIDs,AssumptionClass,Statement,DependencyPlanningNote
SOW-064,PKG-01,DEL-01-04,"OBJ-014, OBJ-018",REVISION_0_5_DEPENDENCY_ASSUMPTION_REQUIRED,The product shall be scoped as an analysis-grade piping design engine and stress-model authoring environment with a full internal solver and non-authoritative professional reliance boundary.,Requires refreshed DAG/context treatment before dispatch; do not infer edge approval from this row.
SOW-065,PKG-02,DEL-02-01,OBJ-014,REVISION_0_5_DEPENDENCY_ASSUMPTION_REQUIRED,"The schema-backed physical model shall be the source of truth for editable piping design data, including geometry, components, supports, equipment interfaces, loads, constraints, provenance, unresolved assumptions, and warnings.",Requires refreshed DAG/context treatment before dispatch; do not infer edge approval from this row.
SOW-066,PKG-13,DEL-13-04,OBJ-014,REVISION_0_5_DEPENDENCY_ASSUMPTION_REQUIRED,The product shall transform the physical model into a solver-ready analytical model deterministically and record transformation warnings when physical design data cannot be represented analytically.,Requires refreshed DAG/context treatment before dispatch; do not infer edge approval from this row.
SOW-067,PKG-13,"DEL-13-01, DEL-13-02","OBJ-014, OBJ-018",REVISION_0_5_DEPENDENCY_ASSUMPTION_REQUIRED,"The product shall support user-supplied design knowledge such as endpoints, line data, routing corridors, no-go volumes, supportable zones, equipment interfaces, access constraints, slope/drain/vent requirements, and owner/project metadata.",Requires refreshed DAG/context treatment before dispatch; do not infer edge approval from this row.
SOW-068,PKG-13,"DEL-13-02, DEL-13-03",OBJ-014,REVISION_0_5_DEPENDENCY_ASSUMPTION_REQUIRED,"The constraint system shall validate available design knowledge for connectivity, route conflicts, clearance conflicts, support-zone conflicts, slope/drain/vent conflicts, and missing required data with provenance-aware messages.",Requires refreshed DAG/context treatment before dispatch; do not infer edge approval from this row.
SOW-069,PKG-16,"DEL-16-01, DEL-16-02, DEL-16-03",OBJ-015,REVISION_0_5_DEPENDENCY_ASSUMPTION_REQUIRED,"All GUI and agent edits shall be represented as structured model operations that pass schema validation, constraint validation, diff preview, and controlled application through the model engine.",Requires refreshed DAG/context treatment before dispatch; do not infer edge approval from this row.
SOW-070,PKG-16,"DEL-16-03, DEL-16-04","OBJ-015, OBJ-018",REVISION_0_5_DEPENDENCY_ASSUMPTION_REQUIRED,"Accepted model operations shall preserve operation history, rationale, assumptions, affected entities, and audit metadata needed for reproducible model-state review.",Requires refreshed DAG/context treatment before dispatch; do not infer edge approval from this row.
SOW-071,PKG-14,"DEL-14-01, DEL-14-03",OBJ-016,REVISION_0_5_DEPENDENCY_ASSUMPTION_REQUIRED,"The product shall save named immutable model states with tags, notes, external references, unresolved assumptions, warnings, and deterministic hashes.",Requires refreshed DAG/context treatment before dispatch; do not infer edge approval from this row.
SOW-072,PKG-14,"DEL-14-02, DEL-14-04",OBJ-016,REVISION_0_5_DEPENDENCY_ASSUMPTION_REQUIRED,"The product shall save analysis runs bound to exact model states, solver versions, settings, units, load cases, diagnostics, results, rule-pack references, library references, and result hashes.",Requires refreshed DAG/context treatment before dispatch; do not infer edge approval from this row.
SOW-073,PKG-14,"DEL-14-03, DEL-14-04, DEL-14-05","OBJ-016, OBJ-018",REVISION_0_5_DEPENDENCY_ASSUMPTION_REQUIRED,"The product shall compare two model states and/or two analysis runs deterministically using stable IDs, manual mappings where required, unit-normalized result deltas, and tolerance profiles.",Requires refreshed DAG/context treatment before dispatch; do not infer edge approval from this row.
SOW-074,PKG-15,"DEL-15-01, DEL-15-02, DEL-15-03","OBJ-017, OBJ-018",REVISION_0_5_DEPENDENCY_ASSUMPTION_REQUIRED,"The product shall generate schema-compliant handoff packages with model hash, units manifest, entity IDs, library/rule references, unresolved assumptions, warnings, target mapping metadata, and unsupported-target flags.",Requires refreshed DAG/context treatment before dispatch; do not infer edge approval from this row.
SOW-075,PKG-15,DEL-15-04,"OBJ-017, OBJ-018",REVISION_0_5_DEPENDENCY_ASSUMPTION_REQUIRED,"The product shall support external-prover workflow metadata without forcing a formal prover-status lifecycle, automatic professional acceptance record, or comprehensive commercial-tool result ingestion in the MVP.",Requires refreshed DAG/context treatment before dispatch; do not infer edge approval from this row.
SOW-076,PKG-07,DEL-07-08,"OBJ-015, OBJ-016",REVISION_0_5_DEPENDENCY_ASSUMPTION_REQUIRED,"The GUI shall support design-authoring and comparison workflows, including design knowledge panels, constraint/warning panels, state/run browsers, comparison tables, and graphical comparison overlays.",Requires refreshed DAG/context treatment before dispatch; do not infer edge approval from this row.
