DeliverableID,ExecutionPath,DatasheetState,SpecificationState,GuidanceState,ProcedureState,SemanticState,DependencyMirrorState,SemanticAction
DEL-07-08,execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-08_Design-authoring state and comparison workspace,MISSING,MISSING,MISSING,MISSING,PLACEHOLDER,PRESENT,BLOCKED_PENDING_FOUR_DOCUMENT_INITIALIZATION
DEL-08-06,"execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-06_State, comparison, and handoff report sections",MISSING,MISSING,MISSING,MISSING,PLACEHOLDER,PRESENT,BLOCKED_PENDING_FOUR_DOCUMENT_INITIALIZATION
DEL-13-01,execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-01_Design knowledge schema and provenance model,MISSING,MISSING,MISSING,MISSING,PLACEHOLDER,PRESENT,BLOCKED_PENDING_FOUR_DOCUMENT_INITIALIZATION
DEL-13-02,execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-02_Constraint entity and provenance model,MISSING,MISSING,MISSING,MISSING,PLACEHOLDER,PRESENT,BLOCKED_PENDING_FOUR_DOCUMENT_INITIALIZATION
DEL-13-03,execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-03_Constraint validation engine,MISSING,MISSING,MISSING,MISSING,PLACEHOLDER,PRESENT,BLOCKED_PENDING_FOUR_DOCUMENT_INITIALIZATION
DEL-13-04,execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract,MISSING,MISSING,MISSING,MISSING,PLACEHOLDER,PRESENT,BLOCKED_PENDING_FOUR_DOCUMENT_INITIALIZATION
DEL-14-01,"execution/PKG-14_Model States, Analysis Runs, and Comparison/1_Working/DEL-14-01_Immutable model state records",MISSING,MISSING,MISSING,MISSING,PLACEHOLDER,PRESENT,BLOCKED_PENDING_FOUR_DOCUMENT_INITIALIZATION
DEL-14-02,"execution/PKG-14_Model States, Analysis Runs, and Comparison/1_Working/DEL-14-02_Analysis run records",MISSING,MISSING,MISSING,MISSING,PLACEHOLDER,PRESENT,BLOCKED_PENDING_FOUR_DOCUMENT_INITIALIZATION
DEL-14-03,"execution/PKG-14_Model States, Analysis Runs, and Comparison/1_Working/DEL-14-03_Model-state comparison engine",MISSING,MISSING,MISSING,MISSING,PLACEHOLDER,PRESENT,BLOCKED_PENDING_FOUR_DOCUMENT_INITIALIZATION
DEL-14-04,"execution/PKG-14_Model States, Analysis Runs, and Comparison/1_Working/DEL-14-04_Analysis-run comparison engine",MISSING,MISSING,MISSING,MISSING,PLACEHOLDER,PRESENT,BLOCKED_PENDING_FOUR_DOCUMENT_INITIALIZATION
DEL-14-05,"execution/PKG-14_Model States, Analysis Runs, and Comparison/1_Working/DEL-14-05_Comparison mapping, tolerance, and export contracts",MISSING,MISSING,MISSING,MISSING,PLACEHOLDER,PRESENT,BLOCKED_PENDING_FOUR_DOCUMENT_INITIALIZATION
DEL-15-01,execution/PKG-15_Handoff and External Prover Workflow/1_Working/DEL-15-01_Canonical handoff package schema and manifest,MISSING,MISSING,MISSING,MISSING,PLACEHOLDER,PRESENT,BLOCKED_PENDING_FOUR_DOCUMENT_INITIALIZATION
DEL-15-02,execution/PKG-15_Handoff and External Prover Workflow/1_Working/DEL-15-02_Target mapping and unsupported-behavior contract,MISSING,MISSING,MISSING,MISSING,PLACEHOLDER,PRESENT,BLOCKED_PENDING_FOUR_DOCUMENT_INITIALIZATION
DEL-15-03,execution/PKG-15_Handoff and External Prover Workflow/1_Working/DEL-15-03_Downstream modeling export workflow,MISSING,MISSING,MISSING,MISSING,PLACEHOLDER,PRESENT,BLOCKED_PENDING_FOUR_DOCUMENT_INITIALIZATION
DEL-15-04,execution/PKG-15_Handoff and External Prover Workflow/1_Working/DEL-15-04_External prover boundary metadata,MISSING,MISSING,MISSING,MISSING,PLACEHOLDER,PRESENT,BLOCKED_PENDING_FOUR_DOCUMENT_INITIALIZATION
DEL-16-01,execution/PKG-16_Model Operation and Agent Proposal Framework/1_Working/DEL-16-01_Structured model operation schema,MISSING,MISSING,MISSING,MISSING,PLACEHOLDER,PRESENT,BLOCKED_PENDING_FOUR_DOCUMENT_INITIALIZATION
DEL-16-02,execution/PKG-16_Model Operation and Agent Proposal Framework/1_Working/DEL-16-02_Operation validation and diff preview,MISSING,MISSING,MISSING,MISSING,PLACEHOLDER,PRESENT,BLOCKED_PENDING_FOUR_DOCUMENT_INITIALIZATION
DEL-16-03,execution/PKG-16_Model Operation and Agent Proposal Framework/1_Working/DEL-16-03_User acceptance and operation audit trail,MISSING,MISSING,MISSING,MISSING,PLACEHOLDER,PRESENT,BLOCKED_PENDING_FOUR_DOCUMENT_INITIALIZATION
DEL-16-04,execution/PKG-16_Model Operation and Agent Proposal Framework/1_Working/DEL-16-04_Agent rationale and professional-boundary controls,MISSING,MISSING,MISSING,MISSING,PLACEHOLDER,PRESENT,BLOCKED_PENDING_FOUR_DOCUMENT_INITIALIZATION
