DeliverableID,PackageID,DeliverableName,LifecycleState,ExecutionPath,StatusPathState,ContextPathState,DependencyDocState,LocalDependenciesCsvState,ImplementationEvidenceState,Notes
DEL-00-01,PKG-00,Architecture decision record baseline,SEMANTIC_READY,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-01_Architecture decision record baseline,PRESENT,PRESENT,PRESENT,MISSING,ARCHITECTURE_BASELINE,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-00-02,PKG-00,Repository and module boundary architecture,SEMANTIC_READY,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-02_Repository and module boundary architecture,PRESENT,PRESENT,PRESENT,MISSING,ARCHITECTURE_BASELINE,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-00-03,PKG-00,Application service command-query-job model,SEMANTIC_READY,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-03_Application service command-query-job model,PRESENT,PRESENT,PRESENT,MISSING,ARCHITECTURE_BASELINE,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-00-04,PKG-00,Persistence and schema versioning architecture,SEMANTIC_READY,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-04_Persistence and schema versioning architecture,PRESENT,PRESENT,PRESENT,MISSING,ARCHITECTURE_BASELINE,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-00-05,PKG-00,GUI state and interaction architecture,SEMANTIC_READY,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-05_GUI state and interaction architecture,PRESENT,PRESENT,PRESENT,MISSING,ARCHITECTURE_BASELINE,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-00-06,PKG-00,"Diagnostics, warning, and result-envelope contract",SEMANTIC_READY,"execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-06_Diagnostics, warning, and result-envelope contract",PRESENT,PRESENT,PRESENT,MISSING,ARCHITECTURE_BASELINE,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-00-07,PKG-00,API boundary and adapter contract map,SEMANTIC_READY,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-07_API boundary and adapter contract map,PRESENT,PRESENT,PRESENT,MISSING,ARCHITECTURE_BASELINE,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-00-08,PKG-00,Layered software test and acceptance strategy,SEMANTIC_READY,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-08_Layered software test and acceptance strategy,PRESENT,PRESENT,PRESENT,MISSING,ARCHITECTURE_BASELINE,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-01-01,PKG-01,Project governance baseline,CHECKING,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-01_Project governance baseline",PRESENT,PRESENT,PRESENT,PRESENT,COMMITTED,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-01-02,PKG-01,Copyright and protected-data boundary policy,CHECKING,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-02_Copyright and protected-data boundary policy",PRESENT,PRESENT,PRESENT,PRESENT,COMMITTED,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-01-03,PKG-01,Contributor certification workflow,CHECKING,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-03_Contributor certification workflow",PRESENT,PRESENT,PRESENT,PRESENT,COMMITTED,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-01-04,PKG-01,Professional responsibility and product-claims policy,CHECKING,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-04_Professional responsibility and product-claims policy",PRESENT,PRESENT,PRESENT,PRESENT,COMMITTED,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS; REV05_TARGETED_REVIEW_COMPLETE
DEL-02-01,PKG-02,Canonical domain model schema,CHECKING,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-01_Canonical domain model schema",PRESENT,PRESENT,PRESENT,PRESENT,COMMITTED,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS; REV05_TARGETED_REVIEW_AND_SUPPLEMENT_COMPLETE
DEL-02-02,PKG-02,Unit system and dimensional-analysis core contract,CHECKING,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract",PRESENT,PRESENT,PRESENT,PRESENT,COMMITTED,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-02-03,PKG-02,Code-neutral analysis boundary model,CHECKING,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model",PRESENT,PRESENT,PRESENT,PRESENT,COMMITTED,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-02-04,PKG-02,Plugin and extension domain contracts,CHECKING,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-04_Plugin and extension domain contracts",PRESENT,PRESENT,PRESENT,PRESENT,COMMITTED,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-02-05,PKG-02,Project persistence and round-trip serialization,CHECKING,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization",PRESENT,PRESENT,PRESENT,PRESENT,COMMITTED,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-03-01,PKG-03,Material library schema with provenance,CHECKING,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-01_Material library schema with provenance",PRESENT,PRESENT,PRESENT,PRESENT,COMMITTED,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
DEL-03-02,PKG-03,Pipe section and component library schema,CHECKING,"execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-02_Pipe section and component library schema",PRESENT,PRESENT,PRESENT,PRESENT,COMMITTED,CARRIED_FORWARD_METADATA_REFRESHED_FROM_REV05_REGISTERS
